id,term,definition,musical_equivalent,math_equivalent,category,astro_equivalent
1,Accidental Dignity,A planets strength or ability to express its nature. Accidental dignity arises from the position of a planet in a chart.,"A melody with clear tonality and harmonic progressions, allowing it to express a cohesive musical idea","A function whose form enables it to smoothly map inputs to outputs, accurately modeling an underlying relationship.",,
2,Angle,"The four cardinal points in a chart  the Ascendant, Imum Coeli, Descendant and Midheaven. These are also known as the angular houses.","The tonic, subdominant, dominant, and mediant chords  the four primary chords that orient a piece tonally.","The four quadrants of the Cartesian coordinate plane  Q1, Q2, Q3, and Q4  which anchor a graphs structure.",,
3,angular,"Referring to the angular houses  the 1st, 4th, 7th and 10th houses. Planets in these houses are strengthened.","Emphasizing the tonic, subdominant, dominant and mediant chords to give strength and focus to the harmony.","Angles of 0, 90, 180, and 270 degrees which have specific geometric properties and orientations.",,
4,aquarius,"The 11th sign of the zodiac, associated with eccentricity, humanitarianism, and intellectual pursuits. Ruled by Saturn and Uranus.","Unconventional extended chords and progressions, with a focus on intellectual themes.","Complex logarithmic spirals modeling chaotic systems, with an analytical essence.",,
5,aries,"The 1st sign of the zodiac, associated with initiative, aggression, and leadership. Ruled by Mars.","Forceful rhythms and melodies in a minor key, with a strong percussive drive.","Sharp linear functions with steep positive slopes, indicative of direct action and intensity.",,
6,Ascendant,The sign and degree rising on the eastern horizon at the time of ones birth. It describes the personality and physical appearance.,The opening melody or motif which sets the tone and character for the whole piece.,The initial conditions or starting point that determine the subsequent evolution of a system.,,
7,aspect,"The angular relationship between two planets in a chart. Major aspects include the conjunction, sextile, square, trine and opposition.","The harmonic interval between two notes or chords. Major aspects are unisons, 3rds, 4ths, 5ths, and octaves.","The angle formed between two vectors or points in geometric space. Significant angles include 0, 60, 90, 120, 180 degrees.",,
8,aspect pattern,A geometric pattern formed between three or more planets by their angular relationships to each other.,Specific interlocking chord progressions or contrapuntal lines that create an overall musical form.,Distinct geometric shapes and symmetry groups formed by mathematical points standing in certain angular relationships.,,
9,astrocartography,A technique mapping how planetary positions at birth are activated by relocation.,"Composing pieces based on different musical styles from around the world, according to ones place of residence.",Plotting how the coefficients in a multivariate function vary in response to changes in input location.,,
10,astrologer,One who practices astrology  the study of the positions and aspects of celestial bodies in the belief that they have an influence on the course of natural earthly occurrences and human affairs.,A composer who writes music reflecting philosophical themes and human experiences.,A mathematician who studies how quantitative relationships and geometric patterns manifest in nature and human society.,,
11,astrology,The study of the movements and relative positions of celestial bodies interpreted as having an influence on human affairs and the natural world.,The study of how musical structures and themes reflect and relate to human experiences and the natural world.,"The exploration of how mathematical relationships, proportions and symmetries appear throughout the cosmos and human life.",,
12,aversion,An aspect angle greater than 120 degrees. Planets in aversion have little in common.,"No harmonic relationship between two melodic lines or chords, creating dissonance and lack of resolution.","Two vectors diverging at an obtuse angle, indicating contrary orientations with minimal intersection.",,
13,benefic,A planet considered to have a favorable influence. Venus and Jupiter are the benefics.,"Major, consonant chords and melodies that create positive emotional effects.","Mathematical relationships exhibiting symmetry, resonance, and harmonic proportions.",,
14,bicorporeal signs,"Gemini, Sagittarius and Pisces. Bicorporeal signs are considered dualbodied or twonatured.","Musical lines that have dual natures, like countermelodies in a fugue.","Functions with two sets of transformations, symmetries, or orthogonal dimensions.",,
15,birth chart,"A map of the sky at the moment of ones birth. Used by astrologers to understand personality, strengths, weaknesses, life path, and more. Also known as a natal chart.",A persons musical tastes and talents that originate at birth and develop over time.,The unique combination of mathematical aptitudes and inclinations imprinted at the moment of birth.,,
16,branches of astrology,"The four main branches Natal astrology, Mundane astrology, Horary astrology, and Electional astrology.","Main genres of music  classical, pop, world music, jazz, etc.","Major fields of mathematics  algebra, geometry, analysis, number theory, etc.",,
17,ancer,,"Musical lines that are unstable or unresolved, avoiding the tonic chord.","Trigonometric functions at maximums or minimums, with zeros representing points of weakness.",,
18,capricorn,"The 4th sign of the zodiac, associated with emotion, family, and domestic life. Ruled by the Moon.","Gentle, flowing melodies and harmonies evoking warmth, nostalgia, and inner feelings.","Smooth, periodic sine waves reflecting cycles, seasons, and the ebb and flow of emotions.",,
19,cardinal signs,"The 10th sign of the zodiac, associated with structure, tradition, and hard work. Ruled by Saturn.","Formal, structured compositions following classical traditions and requiring great skill.","Polyhedrons and geometric forms following structural rules, crafted through meticulous effort.",,
20,cazimi,"Aries, Cancer, Libra and Capricorn. Cardinal signs initiate and act.","Leadingtone chords and melodies that pull strongly to the tonic, driving the harmony.",Slopeintercept functions that determine behavior at starting points.,,
21,ceres,"A planet very close to the Sun, within 16 arc minutes or less. Said to be in the heart of the Sun, and thus strengthened.","A melody in unison with the key note of the scale, reinforcing the tonal center.","A value approximating the mean of a distribution, indicating centrality.",,
22,chariot,"The largest asteroid, representing motherhood, nurturing, and nature.",Gentle pastoral compositions with flowing rhythms evoking the nurturing feminine.,"Logistic functions modeling growth, ecology, and the rhythms of nature.",,
23,chart,"Another name for Cancer, the 4th sign.","The rolling rhythm of horses pulling a chariot, steady and constant.","A periodic function modeling cyclical motion, like circular orbits.",,
24,chiron,"A map of the heavens at a particular moment, used in astrology to understand themes and patterns.","The key signature, time signature, tempo and roadmap of melodies and harmonies in a composition.",A graph or coordinate plane mapping mathematical relationships at an instance in time.,,
25,chronocrator,"A small planetoid that represents healing, mentoring and the integration of mind and body.",Improvisatory passages and soulful harmonies that connect the heart and mind.,"The golden ratio, exhibiting aesthetically pleasing proportions and spiritual symmetry.",,
26,composite chart,A planet having rulership over a period of time.,A tempo or rhythmic feel that dominates a section or movement.,A variable that parameterizes time in a mathematical function or model.,,
27,cusp,A chart created by combining and averaging two or more natal charts. Used in synastry.,A duet improvised by blending two musicians styles.,A multivariate function formed by merging and integrating two or more models.,,
28,decans,The very beginning of a house or sign. Used when a planet is at the edge between two signs or houses.,Being on the brink of changing keys but still retaining elements of the original key signature.,"A point on the boundary between two intervals, domains, or phases of a function.",,
29,decumbiture chart,Subdivisions of the zodiac signs into 10degree segments. Used for finer analysis.,Breaking down musical compositions into smaller structural units for detailed analysis.,Partitioning a sample space into quantized bins for greater statistical resolution.,,
30,delineation,"A chart cast for the moment a person takes to their sick bed, used in medical astrology.",Composing a healing melody based on the rhythms and tones of a patients vital signs.,Time series analysis of physiological data to model medical conditions.,,
31,derivative houses,The interpretation of an astrological chart.,"Musical analysis seeking deeper , and significance.",Extracting insights from mathematical relationships through study and deduction.,,
32,detriment,Houses that do not appear in a chart but are calculated mathematically from other houses.,Musical lines derived from mathematical transformations of the original melodies.,"Values obtained by taking the derivative of a function, quantifying rates of change.",,
33,dignified,The sign opposite a planets sign of rulership or domicile. The planet is weakened here.,Playing a melody using scales and chords that dont fit its essence weakens its impact.,"Input values that cause a function to output its minimum value, indicating an adverse condition.",,
34,dispositor,"A planet strengthened by its placement in a chart, through rulership, exaltation, triplicity, term or face.",A melody harmonized with suitable chords and rhythms to bring out its core essence.,"A structured, optimized function that accurately models key relationships within a system.",,
35,domicile,The planet that rules the sign that another planet is located in. Indicates how that planets energies are managed.,The key signature governing the modulation of a melodys notes and chords.,The independent variable controlling the values of a dependent variable in a function.,,
36,electional astrology,"A planets home sign, where it has rulership and strength.",Playing a melody in its original key and scale for maximum resonance.,Input values that produce the maximum output of a function.,,
37,ephemeris,Branch of astrology focused on selecting favorable times to begin new ventures and undertakings.,Choosing auspicious days and times to debut new musical works or projects.,Determining optimal parameters to maximize the success and efficiency of processes.,,
38,equal house system,"A table listing planetary positions at regular intervals, used in casting and reading charts.","A list of dates when certain musical works were composed, performed or published.",Tables of trigonometric functions or statistical distributions.,,
39,essential dignities,A house system dividing the houses into equal 30degree segments starting from the Ascendant.,Dividing a composition into equal length sections or stanzas.,Segmenting a distribution into quantiles containing equal probabilities.,,
40,exaltation,"The strengths or weaknesses of a planet based on its placement by sign and degree. Rulership, exaltation, triplicity, term, detriment and fall are essential dignities.","How the melody, harmony, rhythm and expression inherently strengthen or weaken the core essence of a musical motif.","Qualities of a function that determine its basic form, such as concavity, inflection points, and bounds.",,
41,exalted,The sign where a planet is most potent and pure in its expression. The opposite of the fall.,Playing a melody in a key where it comes alive and resonates perfectly with its inner nature.,"Input values yielding a functions global maximum, indicating peak performance.",,
42,fall,A planet located in the sign of its exaltation. Greatly strengthened.,"A melody played in the key that most enhances its character, impact and expression.",A function evaluated at inputs corresponding to its maximum value.,,
43,final dispositor,The sign opposite a planets exaltation. The planet is weakened here.,"Playing a melody in a key unsuited to its character, diminishing its power and purity.","Input values yielding a functions global minimum, indicating low performance.",,
44,fixed signs,The planet that ultimately rules all others in a chart through dispositors. Indicates the theme or energy master of the chart.,The key signature or tonal center that governs the entire composition and melodic lines within it.,The dominant independent variable that parameterizes all other variables through functional relationships.,,
45,fixed star,"Taurus, Leo, Scorpio and Aquarius. Fixed signs are resistant to change and stubborn.",Repetitive melodic motifs that maintain their identity despite harmonic changes underneath.,Constants and coefficients that remain unchanged across transformations of a function.,,
46,gemini,"Bright stars used in astrological analysis for their influences and ,s. Examples are Regulus, Algol, Sirius.","Referencing certain unique musical pitches, frequencies or tuning systems in a composition.","Exact scalar quantities with defined values, as opposed to variables.",,
47,genethlialogy,"The 3rd sign of the zodiac, associated with communication, connections, and curiosity. Ruled by Mercury.",Lively tempos and melodies using a wide range of notes and tonal colors to convey variety.,Multivariate functions modeling relationships between multiple variables.,,
48,geniture,The astrology of natal charts and birth.,"Analyzing compositions to reveal the essence, strengths and themes of their creators.",Studying mathematical aptitudes and inclinations imprinted at birth.,,
49,glyph,An individuals natal chart. The astrological study of a persons birth.,The unique creative talents and musical preferences present from birth.,The innate mathematical abilities and sensibilities possessed since birth.,,
50,grand cross,A symbol representing an astrological body or point.,"Musical notation such as the treble clef, time signature, or key signature.","Typographical symbols denoting mathematical variables, operators, or concepts.",,
51,grand trine,An aspect pattern involving two oppositions with planets squared at four ends. Indicates tension and challenges.,Layered musical lines creating dissonance and clashing intervals requiring resolution.,Two perpendicular intersecting lines forming four 90 degree angles. Dynamic instability.,,
52,hindu astrology,A triangle formed between three planets in trine 120 degrees to each other. Indicates harmony and ease.,Three chord progressions or voices with notes forming melodic triangles. Creates harmony.,"An equilateral triangle, symbolizing symmetric balance and geometric elegance.",,
53,horary astrology,"The traditional astrological system of India, also known as Vedic or Jyotish astrology.","The classical music of India, incorporating unique melodic motifs and traditional ragas.","Ancient Indian mathematics, founded on geometric, algebraic, and numerical principles.",,
54,horoscope,A branch of astrology answering questions through analyzing charts cast for the exact time and place a question is posed.,Composing short melodic phrases to intuitively answer questions.,Using mathematical reasoning based on contextual parameters to address queries.,,
55,House Division,"A chart or map of the heavens at a specific moment, used by astrologers to understand themes and patterns.","The key signature, time signature, melodies, harmonies and rhythms of a composition revealing its essence.",A visualization of mathematical,,
56,Imum Coeli,An astrological chart with all planets concentrated in the top hemisphere.,The root or tonic note and chord that grounds the melody and harmony.,"The minimum value in a set or function, serving as a foundational baseline from which other values are measured.",,
57,Ingress,A chart drawn for the moment when a planet enters a new sign. It is used to forecast events related to the planets new position.,"The moment when a new theme or motif is introduced in a composition, marking a shift in the musical narrative.","The point at which a function transitions from one phase or behavior to another, often indicated by a change in a piecewise function.",,
58,Joys,Positions in the zodiac where planets are particularly strong and can express their energies harmoniously.,"Chords or notes that resonate particularly well within a musical key, producing a harmonious and pleasing effect.","Critical points in a function where local maxima or minima occur, indicating optimal values.",,
59,Jyotish,"The traditional Hindu system of astrology, also known as Vedic astrology.","Classical Indian music with its unique raga system, which creates a specific emotional and spiritual effect.","The ancient Indian contributions to mathematics, such as the development of zero and the decimal system, which form the foundation of modern arithmetic.",,
60,Kite,"An aspect pattern in astrology that looks like a kite, formed by a grand trine with one of the planets in opposition to another planet. It indicates potential and ease combined with challenge.",A musical structure where a stable harmonic progression is accented by a contrasting dissonance that adds complexity and depth.,"A geometric figure with symmetrical properties and one axis of asymmetry, providing a balanced yet dynamic structure.",,
61,Libra,"The 7th sign of the zodiac, associated with balance, relationships, and harmony. Ruled by Venus.",Harmonious and balanced chord progressions that create a sense of peace and equilibrium.,"Equations or systems that balance multiple variables, such as in optimization problems or equilibrium points in dynamic systems.",,
62,Major Aspect,"The main angular relationships between planets in a chart, including conjunction, sextile, square, trine, and opposition.","The fundamental harmonic intervals in music, such as unison, third, fourth, fifth, and octave, which define the structure of harmony.","Significant angular relationships between vectors or points in geometry, such as 0, 60, 90, 120, and 180 angles.",,
63,Mars Effect,"The theory that the position of Mars in a natal chart correlates with professional success, particularly in fields requiring physical energy and assertiveness.","The driving force in a composition, such as a strong rhythmic section that propels the music forward.","The influence of initial conditions or external forces in dynamical systems, leading to specific trajectories or outcomes.",,
64,Mundane Astrology,"The branch of astrology that deals with world events and the fate of countries, cities, and the world as a whole.",Composing national anthems or largescale symphonies that reflect the spirit and destiny of a nation.,Macroeconomic models and statistical analyses that predict trends and events on a large scale.,,
